Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-14T11:14:05.584Z","Included","auto","No","0","18772","293152","5261","317185","Included"
"2026-03-14T11:09:53.249Z","Included","auto","No","0","32884","394688","5096","432668","Included"
"2026-03-14T11:08:57.543Z","Included","auto","No","0","25219","257920","2271","285410","Included"
"2026-03-14T11:02:04.866Z","Included","auto","No","0","33798","98464","1080","133342","Included"
"2026-03-14T11:01:20.011Z","Included","auto","No","0","63608","104352","1750","169710","Included"
"2026-03-14T10:56:05.791Z","Included","auto","No","0","101916","246112","9278","357306","Included"
"2026-03-14T10:44:24.476Z","Included","auto","No","0","12853","167040","4478","184371","Included"
"2026-03-12T13:28:38.939Z","Included","claude-4.6-opus-high-thinking","No","21096","13017","768608","4385","807106","Included"
"2026-03-12T13:26:38.641Z","Included","composer-1.5","No","0","12371","65184","2072","79627","Included"
"2026-03-12T13:26:18.074Z","Included","claude-4.6-opus-high-thinking","No","65192","4371","186263","2207","258033","Included"
"2026-03-12T10:27:24.577Z","Included","auto","No","0","1525","45824","1378","48727","Included"
"2026-03-12T10:25:25.511Z","Included","auto","No","0","6257","86272","3440","95969","Included"
"2026-03-12T10:23:56.084Z","Included","auto","No","0","8065","160640","1881","170586","Included"
"2026-03-12T10:19:23.666Z","Included","auto","No","0","27144","86144","624","113912","Included"
"2026-03-12T10:18:49.925Z","Included","auto","No","0","20856","14592","372","35820","Included"
"2026-03-12T10:16:33.129Z","Included","auto","No","0","982","33536","1210","35728","Included"
"2026-03-12T10:16:09.394Z","Errored, No Charge","auto","No","0","0","0","0","0","-"
"2026-03-12T10:10:54.143Z","Included","auto","No","0","1832","59904","2244","63980","Included"
"2026-03-12T10:07:32.520Z","Included","auto","No","0","1773","28032","394","30199","Included"
"2026-03-12T10:06:03.170Z","Included","auto","No","0","7679","21248","1300","30227","Included"
"2026-03-12T10:05:25.976Z","Included","auto","No","0","754","27392","737","28883","Included"
"2026-03-12T10:04:12.534Z","Included","auto","No","0","6267","21248","296","27811","Included"
"2026-03-12T09:56:37.581Z","Included","auto","No","0","29631","65024","1613","96268","Included"
"2026-03-12T09:41:58.484Z","Included","auto","No","0","15585","101504","1258","118347","Included"
"2026-03-11T07:02:50.344Z","Included","auto","No","0","108603","469760","1274","579637","Included"
"2026-03-11T06:59:51.104Z","Included","auto","No","0","95860","14592","1454","111906","Included"
"2026-03-10T17:33:04.957Z","Included","auto","No","0","14595","736384","2246","753225","Included"
"2026-03-10T17:28:07.116Z","Included","auto","No","0","176532","539136","1984","717652","Included"
"2026-03-10T17:20:59.712Z","Included","claude-4.6-opus-high-thinking","No","115686","6","344124","1195","461011","Included"
"2026-03-10T17:19:38.377Z","Included","auto","No","0","11759","14592","234","26585","Included"
"2026-03-10T17:06:16.256Z","Included","auto","No","0","156882","120832","1273","278987","Included"
"2026-03-10T17:01:29.622Z","Included","auto","No","0","3011","174592","1284","178887","Included"
"2026-03-10T16:59:25.726Z","Included","auto","No","0","2503","83200","467","86170","Included"
"2026-03-10T16:58:13.764Z","Included","auto","No","0","75587","7680","460","83727","Included"
"2026-03-10T16:56:20.319Z","Included","auto","No","0","10847","103168","1446","115461","Included"
"2026-03-10T16:32:21.620Z","Included","composer-1.5","No","0","10601","83072","11601","105274","Included"
"2026-03-10T16:32:03.450Z","Included","claude-4.6-opus-high-thinking","No","93349","32","2029197","27253","2149831","Included"
"2026-03-10T16:30:20.855Z","Included","composer-1.5","No","0","32598","296800","6748","336146","Included"
"2026-03-10T16:30:15.308Z","Included","composer-1.5","No","0","23187","254848","5559","283594","Included"
"2026-03-10T16:30:09.848Z","Included","composer-1.5","No","0","22206","228512","3394","254112","Included"
"2026-03-10T16:29:58.027Z","Included","claude-4.6-opus-high-thinking","No","73210","4","64387","3216","140817","Included"
"2026-03-10T16:05:48.797Z","Included","claude-4.6-opus-high-thinking","No","61297","9","353654","1084","416044","Included"
"2026-03-10T15:54:16.385Z","Included","claude-4.6-opus-high-thinking","No","4007","5","157528","665","162205","Included"
"2026-03-10T15:51:02.330Z","Included","claude-4.6-opus-high-thinking","No","50358","32","1196092","7165","1253647","Included"
"2026-03-10T15:49:48.373Z","Included","composer-1.5","No","0","10240","26112","4796","41148","Included"
"2026-03-10T15:49:30.887Z","Included","claude-4.6-opus-high-thinking","No","112029","6","309756","1976","423767","Included"
"2026-03-10T15:38:37.654Z","Included","auto","No","0","4296","76160","65","80521","Included"
"2026-03-10T15:36:42.917Z","Included","auto","No","0","7827","379008","1161","387996","Included"
"2026-03-10T15:24:56.342Z","Included","auto","No","0","5444","215040","4020","224504","Included"
"2026-03-10T15:19:39.582Z","Included","auto","No","0","2516","65792","1474","69782","Included"
"2026-03-10T15:17:48.442Z","Included","auto","No","0","17288","48512","853","66653","Included"
"2026-03-10T15:17:12.965Z","Included","auto","No","0","14914","48512","530","63956","Included"
"2026-03-10T15:11:18.492Z","Included","auto","No","0","72946","439808","3049","515803","Included"
"2026-03-10T15:06:08.060Z","Included","auto","No","0","50913","1134592","13108","1198613","Included"
"2026-03-10T15:05:43.953Z","Included","auto","No","0","5912","14592","455","20959","Included"
"2026-03-10T15:03:52.315Z","Included","auto","No","0","161516","182501","13642","357659","Included"
"2026-03-10T15:02:59.078Z","Included","composer-1.5","No","0","10615","24672","1252","36539","Included"
"2026-03-10T15:02:39.470Z","Included","claude-4.6-opus-high-thinking","No","196338","169093","384892","12495","762818","Included"
"2026-03-10T13:43:12.204Z","Included","auto","No","0","8162","593920","2627","604709","Included"
"2026-03-10T13:41:44.941Z","Included","auto","No","0","132696","14592","365","147653","Included"
"2026-03-10T13:38:19.695Z","Included","auto","No","0","2004","144768","412","147184","Included"
"2026-03-10T13:33:19.750Z","Included","auto","No","0","19769","125056","955","145780","Included"
"2026-03-10T13:25:38.346Z","Included","auto","No","0","378233","1408512","4746","1791491","Included"
"2026-03-10T12:48:43.206Z","Included","auto","No","0","1139","121600","1553","124292","Included"
"2026-03-10T12:45:39.606Z","Included","auto","No","0","215328","29184","1387","245899","Included"
"2026-03-10T11:51:18.530Z","Included","auto","No","0","1901","239616","1230","242747","Included"
"2026-03-10T11:50:01.282Z","Included","auto","No","0","1163","238080","377","239620","Included"
"2026-03-10T11:47:47.695Z","Included","auto","No","0","12819","224768","466","238053","Included"
"2026-03-10T11:46:00.421Z","Included","auto","No","0","11033","106880","515","118428","Included"
"2026-03-10T11:39:56.017Z","Included","auto","No","0","204364","1171328","5868","1381560","Included"
"2026-03-10T11:29:45.992Z","Included","auto","No","0","16976","89472","2780","109228","Included"
"2026-03-10T11:25:14.059Z","Included","auto","No","0","16099","89472","301","105872","Included"
"2026-03-10T11:20:05.888Z","Included","auto","No","0","70272","2477312","7552","2555136","Included"
"2026-03-10T11:17:51.401Z","Included","auto","No","0","11301","601856","2960","616117","Included"
"2026-03-10T11:15:10.585Z","Included","auto","No","0","94996","556032","4084","655112","Included"
"2026-03-10T11:12:26.129Z","Included","auto","No","0","8208","599936","5689","613833","Included"
"2026-03-10T11:11:22.043Z","Included","auto","No","0","10095","420992","1465","432552","Included"
"2026-03-10T11:08:25.881Z","Included","auto","No","0","27337","595840","5563","628740","Included"
"2026-03-10T11:04:30.474Z","Included","auto","No","0","31231","637824","1981","671036","Included"
"2026-03-10T11:01:37.507Z","Included","auto","No","0","70837","1313664","3678","1388179","Included"
"2026-03-10T10:59:32.200Z","Included","auto","No","0","63851","298368","1525","363744","Included"
"2026-03-10T10:57:35.714Z","Included","composer-1.5","No","0","4154","64192","1537","69883","Included"
"2026-03-10T10:57:32.873Z","Included","composer-1.5","No","0","11411","61120","3418","75949","Included"
"2026-03-10T10:57:12.466Z","Included","claude-4.6-opus-high-thinking","No","44904","5","77459","4205","126573","Included"
"2026-03-10T10:57:07.812Z","Included","auto","No","0","0","0","0","0","Included"
"2026-03-08T18:23:39.758Z","Included","auto","No","0","26335","132160","1891","160386","Included"
"2026-03-04T15:23:08.109Z","Included","auto","No","0","219674","57216","27728","304618","Included"
"2026-03-04T15:07:12.529Z","Included","auto","No","0","259788","2695680","5631","2961099","Included"
"2026-03-04T15:04:23.274Z","Included","claude-4.6-opus-high-thinking","No","161951","5","311498","1888","475342","Included"
"2026-03-04T14:42:15.120Z","Included","auto","No","0","111544","262272","835","374651","Included"
"2026-03-04T14:38:14.053Z","Included","auto","No","0","108466","14592","550","123608","Included"
"2026-03-04T14:17:59.308Z","Included","auto","No","0","241521","3662564","40766","3944851","Included"
"2026-03-04T14:16:15.522Z","Included","claude-4.6-opus-high-thinking","No","2079","7097","343916","18414","371506","Included"
"2026-03-04T14:12:40.665Z","Included","claude-4.6-opus-high-thinking","No","188295","160704","0","17779","366778","Included"
"2026-03-04T14:00:00.811Z","Included","claude-4.6-opus-high-thinking","No","184455","151324","538673","27211","901663","Included"
"2026-03-04T13:49:52.554Z","Included","auto","No","0","11117","576384","1198","588699","Included"
"2026-03-04T13:46:12.034Z","Included","auto","No","0","134817","440576","967","576360","Included"
"2026-03-04T13:41:15.166Z","Included","auto","No","0","126117","14592","281","140990","Included"
"2026-03-04T13:02:47.345Z","Included","auto","No","0","3576","415616","621","419813","Included"
"2026-03-04T13:01:34.961Z","Included","auto","No","0","1522","137216","1235","139973","Included"
"2026-03-04T12:58:43.552Z","Included","auto","No","0","250902","29184","1195","281281","Included"
"2026-03-04T11:02:18.989Z","Included","auto","No","0","13083","669056","660","682799","Included"
"2026-03-04T10:59:37.466Z","Included","auto","No","0","4473","524288","1326","530087","Included"
"2026-03-04T10:56:30.168Z","Included","auto","No","0","5417","516224","738","522379","Included"
"2026-03-04T10:56:05.209Z","Included","auto","No","0","1360","256000","369","257729","Included"
"2026-03-04T10:55:01.164Z","Included","auto","No","0","14056","370560","1031","385647","Included"
"2026-03-04T10:49:39.413Z","Included","auto","No","0","17583","487040","5132","509755","Included"
"2026-03-04T10:47:37.334Z","Included","auto","No","0","8030","593024","1057","602111","Included"
"2026-03-04T10:45:53.764Z","Included","auto","No","0","150366","323200","1396","474962","Included"
"2026-03-04T10:43:10.953Z","Included","auto","No","0","9961","663680","3239","676880","Included"
"2026-03-04T10:41:54.990Z","Included","claude-4.6-opus-high-thinking","No","84738","5","164935","2614","252292","Included"
"2026-03-04T10:39:42.061Z","Included","auto","No","0","1179","132352","167","133698","Included"
"2026-03-04T10:38:58.353Z","Included","auto","No","0","1399","131456","1422","134277","Included"
"2026-03-04T10:37:03.911Z","Included","auto","No","0","910","129152","227","130289","Included"
"2026-03-04T10:36:02.574Z","Included","auto","No","0","2517","126464","270","129251","Included"
"2026-03-04T10:34:14.802Z","Included","auto","No","0","10911","370432","1824","383167","Included"
"2026-03-04T10:30:54.368Z","Included","auto","No","0","46657","419072","4403","470132","Included"
"2026-03-04T10:23:19.157Z","Included","auto","No","0","356242","1336576","33614","1726432","Included"
"2026-03-04T10:21:43.778Z","Included","auto","No","0","10455","219904","1455","231814","Included"
"2026-03-04T10:17:32.721Z","Included","auto","No","0","644684","1863040","5891","2513615","Included"
"2026-03-04T10:07:09.878Z","Included","auto","No","0","202968","14592","349","217909","Included"
"2026-03-04T10:05:31.387Z","Included","auto","No","0","10128","2144640","1361","2156129","Included"
"2026-03-04T10:04:18.472Z","Included","auto","No","0","1681","212480","1007","215168","Included"
"2026-03-04T10:04:01.538Z","Included","auto","No","0","7875","29184","914","37973","Included"
"2026-03-04T10:01:26.424Z","Included","auto","No","0","214220","640512","2364","857096","Included"
"2026-03-04T09:56:22.403Z","Included","auto","No","0","16978","823040","2708","842726","Included"
"2026-03-04T09:50:04.224Z","Included","auto","No","0","200583","825088","1666","1027337","Included"
"2026-03-04T09:48:44.652Z","Included","auto","No","0","190163","212992","1517","404672","Included"
"2026-03-04T09:42:15.453Z","Included","auto","No","0","2874","398208","1604","402686","Included"
"2026-03-04T09:40:29.624Z","Included","auto","No","0","1522","794624","896","797042","Included"
"2026-03-04T09:38:44.882Z","Included","auto","No","0","6784","191232","196","198212","Included"
"2026-03-04T09:38:04.295Z","Included","auto","No","0","10039","187264","484","197787","Included"
"2026-03-04T09:36:03.937Z","Included","auto","No","0","9425","187264","251","196940","Included"
"2026-03-04T09:32:26.910Z","Included","auto","No","0","15215","959488","5453","980156","Included"
"2026-03-04T09:30:09.769Z","Included","auto","No","0","23277","1305728","900","1329905","Included"
"2026-03-04T09:29:03.358Z","Included","auto","No","0","175140","388352","641","564133","Included"
"2026-03-04T09:27:58.365Z","Included","auto","No","0","172137","201472","556","374165","Included"
"2026-03-04T09:26:57.180Z","Included","auto","No","0","14178","172032","412","186622","Included"
"2026-03-04T09:21:19.802Z","Included","auto","No","0","343561","543360","9496","896417","Included"
"2026-03-04T09:17:08.599Z","Included","auto","No","0","165113","177920","223","343256","Included"
"2026-03-04T09:05:21.206Z","Included","auto","No","0","176954","2507648","4973","2689575","Included"
"2026-03-04T09:01:34.076Z","Included","auto","No","0","34436","774912","1661","811009","Included"
"2026-03-04T08:55:24.206Z","Included","auto","No","0","30433","1652352","6536","1689321","Included"
"2026-03-04T08:40:22.199Z","Included","auto","No","0","270117","1740032","2740","2012889","Included"
"2026-03-04T08:38:48.330Z","Included","auto","No","0","7833","132608","366","140807","Included"
"2026-03-04T08:28:01.547Z","Included","auto","No","0","73536","2399872","3858","2477266","Included"
"2026-03-04T08:20:58.711Z","Included","auto","No","0","288163","698112","1531","987806","Included"
"2026-03-04T08:19:12.435Z","Included","composer-1.5","No","0","37100","136352","4731","178183","Included"
"2026-03-04T08:17:36.784Z","Included","claude-4.6-opus-high-thinking","No","110933","6","310335","6504","427778","Included"
"2026-03-03T17:55:12.572Z","Included","auto","No","0","33375","86272","2387","122034","Included"
"2026-03-03T17:53:12.704Z","Included","auto","No","0","41969","26880","7721","76570","Included"
"2026-03-03T17:47:48.917Z","Included","claude-4.6-opus-high-thinking","No","210629","206325","417501","12055","846510","Included"
"2026-03-03T16:12:35.715Z","Included","auto","No","0","16845","1296896","3910","1317651","Included"
"2026-03-03T16:08:17.405Z","Included","auto","No","0","28752","608128","2447","639327","Included"
"2026-03-03T15:57:36.044Z","Included","auto","No","0","21022","2114048","7183","2142253","Included"
"2026-03-03T15:52:42.830Z","Included","auto","No","0","2409","141952","185","144546","Included"
"2026-03-03T15:51:13.921Z","Included","auto","No","0","160713","140416","7662","308791","Included"
"2026-03-03T15:50:12.177Z","Included","claude-4.6-opus-high-thinking","No","179606","3","0","596","180205","Included"
"2026-03-03T15:48:22.463Z","Included","auto","No","0","127455","14592","840","142887","Included"
"2026-03-03T15:47:35.042Z","Included","auto","No","0","1006","140672","232","141910","Included"
"2026-03-03T15:46:02.104Z","Included","auto","No","0","126131","14592","451","141174","Included"
"2026-03-03T15:44:02.869Z","Included","auto","No","0","1175","139264","257","140696","Included"
"2026-03-03T15:42:40.758Z","Included","auto","No","0","1898","137472","447","139817","Included"
"2026-03-03T15:36:15.058Z","Included","auto","No","0","247505","29184","2171","278860","Included"
"2026-03-03T15:04:26.350Z","Included","auto","No","0","244736","708608","1034","954378","Included"
"2026-03-03T14:51:24.086Z","Included","auto","No","0","123953","9472","705","134130","Included"
"2026-03-03T14:42:02.476Z","Included","auto","No","0","282422","3569408","12414","3864244","Included"
"2026-03-03T14:34:30.195Z","Included","claude-4.6-opus-high-thinking","No","135435","6","390512","4399","530352","Included"
"2026-03-03T14:30:59.842Z","Included","auto","No","0","105536","699136","2395","807067","Included"
"2026-03-03T14:28:35.179Z","Included","auto","No","0","87255","859776","3053","950084","Included"
"2026-03-03T14:25:50.958Z","Included","auto","No","0","1567","89216","1084","91867","Included"
"2026-03-03T14:24:16.653Z","Included","auto","No","0","1393","178304","1231","180928","Included"
"2026-03-03T14:23:27.125Z","Included","auto","No","0","34435","54400","524","89359","Included"
"2026-03-03T14:18:47.595Z","Included","claude-4.6-opus-high-thinking","No","106687","20","1630555","6507","1743769","Included"
"2026-03-03T14:17:11.593Z","Included","claude-4.6-opus-high-thinking","No","3633","4","162603","2109","168349","Included"
"2026-03-03T14:13:41.593Z","Included","claude-4.6-opus-high-thinking","No","80563","3","0","344","80910","Included"
"2026-03-03T14:12:23.757Z","Included","claude-4.6-opus-high-thinking","No","79884","5","150623","2989","233501","Included"
"2026-03-03T14:09:52.400Z","Included","auto","No","0","41901","69248","459","111608","Included"
"2026-03-03T14:07:08.539Z","Included","auto","No","0","472","53120","464","54056","Included"
"2026-03-03T14:05:54.666Z","Included","auto","No","0","3910","156416","423","160749","Included"
